Designator,Mid X,Mid Y,Rotation,Layer
DO116,181.8,-130.93375,270.0,bottom
DO117,181.75,-139.935,270.0,bottom
DO12,82.8,-85.9275,270.0,bottom
DO13,82.8,-94.92875,270.0,bottom
DO14,82.8,-103.93,270.0,bottom
DO15,82.8,-112.93125,270.0,bottom
DO16,82.8,-121.9325,270.0,bottom
DO17,82.8,-130.93375,270.0,bottom
DO18,82.8,-139.935,270.0,bottom
DO19,91.8,-67.925,270.0,bottom
DO2,73.8,-76.92625,270.0,bottom
DO20,91.8,-76.92625,270.0,bottom
DO21,91.8,-85.9275,270.0,bottom
DO22,91.8,-94.92875,270.0,bottom
DO23,91.8,-103.93,270.0,bottom
DO24,91.8,-112.93125,270.0,bottom
DO25,91.8,-121.9325,270.0,bottom
DO26,91.8,-130.93375,270.0,bottom
DO27,91.8,-139.935,270.0,bottom
DO28,100.8,-67.925,270.0,bottom
DO29,100.8,-76.92625,270.0,bottom
DO3,73.8,-85.9275,270.0,bottom
DO30,100.8,-85.9275,270.0,bottom
DO31,100.8,-94.92875,270.0,bottom
DO32,100.8,-103.93,270.0,bottom
DO33,100.8,-112.93125,270.0,bottom
DO34,100.8,-121.9325,270.0,bottom
DO35,100.8,-130.93375,270.0,bottom
DO36,100.8,-139.935,270.0,bottom
DO37,109.8,-67.925,270.0,bottom
DO38,109.8,-76.92625,270.0,bottom
DO39,109.8,-85.9275,270.0,bottom
DO4,73.8,-94.92875,270.0,bottom
DO40,109.8,-94.92875,270.0,bottom
DO41,109.8,-103.93,270.0,bottom
DO42,109.8,-112.93125,270.0,bottom
DO43,109.8,-121.9325,270.0,bottom
DO44,109.8,-130.93375,270.0,bottom
DO45,109.8,-139.935,270.0,bottom
DO46,118.8,-67.925,270.0,bottom
DO47,118.8,-76.92625,270.0,bottom
DO48,118.8,-85.9275,270.0,bottom
DO49,118.8,-94.92875,270.0,bottom
DO5,73.8,-103.93,270.0,bottom
DO50,118.8,-103.93,270.0,bottom
DO51,118.8,-112.93125,270.0,bottom
DO52,118.8,-121.9325,270.0,bottom
DO53,118.8,-130.93375,270.0,bottom
DO54,118.8,-139.935,270.0,bottom
DO55,127.8,-67.925,270.0,bottom
DO56,127.8,-76.92625,270.0,bottom
DO57,127.8,-85.9275,270.0,bottom
DO58,127.8,-94.92875,270.0,bottom
DO59,127.8,-103.93,270.0,bottom
DO6,73.8,-112.93125,270.0,bottom
DO60,127.8,-112.93125,270.0,bottom
DO61,127.8,-121.9325,270.0,bottom
DO62,127.8,-130.93375,270.0,bottom
DO63,127.8,-139.935,270.0,bottom
DO64,136.8,-67.925,270.0,bottom
DO65,136.8,-76.92625,270.0,bottom
DO66,136.8,-85.9275,270.0,bottom
DO67,136.8,-94.92875,270.0,bottom
DO68,136.8,-103.93,270.0,bottom
DO69,136.8,-112.93125,270.0,bottom
DO7,73.8,-121.9325,270.0,bottom
DO70,136.8,-121.9325,270.0,bottom
DO71,136.8,-130.93375,270.0,bottom
DO72,136.8,-139.935,270.0,bottom
DO73,145.8,-67.925,270.0,bottom
DO74,145.8,-76.92625,270.0,bottom
DO75,145.8,-85.9275,270.0,bottom
DO76,145.8,-94.92875,270.0,bottom
DO77,145.8,-103.93,270.0,bottom
DO78,145.8,-112.93125,270.0,bottom
